Wolfsburgo,Kiel,24.01.,13:30
Augsburgo,Heidenheim,25.01.,08:30
Borussia Dortmund,Werder Bremen,25.01.,08:30
Friburgo,Bayern Múnich,25.01.,08:30
Mainz,Stuttgart,25.01.,08:30
RB Leipzig,Bayer Leverkusen,25.01.,08:30
Borussia M'gladbach,Bochum,25.01.,11:30
Hoffenheim,Eintracht Frankfurt,26.01.,08:30
St. Pauli,Union Berlin,26.01.,10:30
Werder Bremen,Mainz,31.01.,13:30
Bayern Múnich,Kiel,01.02.,08:30
Bochum,Friburgo,01.02.,08:30
Heidenheim,Borussia Dortmund,01.02.,08:30
St. Pauli,Augsburgo,01.02.,08:30
Stuttgart,Borussia M'gladbach,01.02.,08:30
Union Berlin,RB Leipzig,01.02.,11:30
Eintracht Frankfurt,Wolfsburgo,02.02.,08:30
Bayer Leverkusen,Hoffenheim,02.02.,10:30
Bayern Múnich,Werder Bremen,07.02.,13:30
Borussia Dortmund,Stuttgart,08.02.,08:30
Friburgo,Heidenheim,08.02.,08:30
Hoffenheim,Union Berlin,08.02.,08:30
Mainz,Augsburgo,08.02.,08:30
Wolfsburgo,Bayer Leverkusen,08.02.,08:30
Borussia M'gladbach,Eintracht Frankfurt,08.02.,11:30
Kiel,Bochum,09.02.,08:30
RB Leipzig,St. Pauli,09.02.,10:30
Augsburgo,RB Leipzig,14.02.,13:30
Bochum,Borussia Dortmund,15.02.,08:30
St. Pauli,Friburgo,15.02.,08:30
Stuttgart,Wolfsburgo,15.02.,08:30
Union Berlin,Borussia M'gladbach,15.02.,08:30
Bayer Leverkusen,Bayern Múnich,15.02.,11:30
Werder Bremen,Hoffenheim,16.02.,08:30
Eintracht Frankfurt,Kiel,16.02.,10:30
Heidenheim,Mainz,16.02.,12:30
Friburgo,Werder Bremen,21.02.,13:30
Borussia M'gladbach,Augsburgo,22.02.,08:30
Kiel,Bayer Leverkusen,22.02.,08:30
Mainz,St. Pauli,22.02.,08:30
Wolfsburgo,Bochum,22.02.,08:30
Borussia Dortmund,Union Berlin,22.02.,11:30
RB Leipzig,Heidenheim,23.02.,08:30
Bayern Múnich,Eintracht Frankfurt,23.02.,10:30
Hoffenheim,Stuttgart,23.02.,12:30
Stuttgart,Bayern Múnich,28.02.,13:30
Bochum,Hoffenheim,01.03.,08:30
Heidenheim,Borussia M'gladbach,01.03.,08:30
RB Leipzig,Mainz,01.03.,08:30
St. Pauli,Borussia Dortmund,01.03.,08:30
Werder Bremen,Wolfsburgo,01.03.,08:30
Eintracht Frankfurt,Bayer Leverkusen,01.03.,11:30
Union Berlin,Kiel,02.03.,08:30
Augsburgo,Friburgo,02.03.,10:30
Bayer Leverkusen,Werder Bremen,08.03.,08:30
Bayern Múnich,Bochum,08.03.,08:30
Borussia Dortmund,Augsburgo,08.03.,08:30
Borussia M'gladbach,Mainz,08.03.,08:30
Eintracht Frankfurt,Union Berlin,08.03.,08:30
Friburgo,RB Leipzig,08.03.,08:30
Hoffenheim,Heidenheim,08.03.,08:30
Kiel,Stuttgart,08.03.,08:30
Wolfsburgo,St. Pauli,08.03.,08:30
Augsburgo,Wolfsburgo,15.03.,08:30
Bochum,Eintracht Frankfurt,15.03.,08:30
Heidenheim,Kiel,15.03.,08:30
Mainz,Friburgo,15.03.,08:30
RB Leipzig,Borussia Dortmund,15.03.,08:30
St. Pauli,Hoffenheim,15.03.,08:30
Stuttgart,Bayer Leverkusen,15.03.,08:30
Union Berlin,Bayern Múnich,15.03.,08:30
Werder Bremen,Borussia M'gladbach,15.03.,08:30
Bayer Leverkusen,Bochum,29.03.,08:30
Bayern Múnich,St. Pauli,29.03.,08:30
Borussia Dortmund,Mainz,29.03.,08:30
Borussia M'gladbach,RB Leipzig,29.03.,08:30
Eintracht Frankfurt,Stuttgart,29.03.,08:30
Friburgo,Union Berlin,29.03.,08:30
Hoffenheim,Augsburgo,29.03.,08:30
Kiel,Werder Bremen,29.03.,08:30
Wolfsburgo,Heidenheim,29.03.,08:30
Augsburgo,Bayern Múnich,05.04.,07:30
Bochum,Stuttgart,05.04.,07:30
Friburgo,Borussia Dortmund,05.04.,07:30
Heidenheim,Bayer Leverkusen,05.04.,07:30
Mainz,Kiel,05.04.,07:30
RB Leipzig,Hoffenheim,05.04.,07:30
St. Pauli,Borussia M'gladbach,05.04.,07:30
Union Berlin,Wolfsburgo,05.04.,07:30
Werder Bremen,Eintracht Frankfurt,05.04.,07:30
Bayer Leverkusen,Union Berlin,12.04.,07:30
Bayern Múnich,Borussia Dortmund,12.04.,07:30
Bochum,Augsburgo,12.04.,07:30
Borussia M'gladbach,Friburgo,12.04.,07:30
Eintracht Frankfurt,Heidenheim,12.04.,07:30
Hoffenheim,Mainz,12.04.,07:30
Kiel,St. Pauli,12.04.,07:30
Stuttgart,Werder Bremen,12.04.,07:30
Wolfsburgo,RB Leipzig,12.04.,07:30
Augsburgo,Eintracht Frankfurt,19.04.,07:30
Borussia Dortmund,Borussia M'gladbach,19.04.,07:30
Friburgo,Hoffenheim,19.04.,07:30
Heidenheim,Bayern Múnich,19.04.,07:30
Mainz,Wolfsburgo,19.04.,07:30
RB Leipzig,Kiel,19.04.,07:30
St. Pauli,Bayer Leverkusen,19.04.,07:30
Union Berlin,Stuttgart,19.04.,07:30
Werder Bremen,Bochum,19.04.,07:30
Bayer Leverkusen,Augsburgo,26.04.,07:30
Bayern Múnich,Mainz,26.04.,07:30
Bochum,Union Berlin,26.04.,07:30
Eintracht Frankfurt,RB Leipzig,26.04.,07:30
Hoffenheim,Borussia Dortmund,26.04.,07:30
Kiel,Borussia M'gladbach,26.04.,07:30
Stuttgart,Heidenheim,26.04.,07:30
Werder Bremen,St. Pauli,26.04.,07:30
Wolfsburgo,Friburgo,26.04.,07:30
